Adversary ID;Name;Race;Prompt
31;"Wild Men of Mirkwood";"Evil Men";"Create a high-quality, full-body portrait of character named Wild Men of Mirkwood, who is a Evil Men from Tolkien's Middle-earth, These men are the descendants of Northmen who fled into the deep forests of Mirkwood and became corrupt and evil. They forgot all their lore, and now use carved wood and chipped stone instead of metal. They speak a barbaric tongue that is part a degenerate form of the Common Speech and part mimicry of the chirps and clicks of the Spiders., wielding a Stone Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
32;"Dunlending Raiders";"Evil Men";"Create a high-quality, full-body portrait of character named Dunlending Raiders, who is a Evil Men from Tolkien's Middle-earth, Sometimes, when a particularly harsh winter has passed or a provocation from the hated Forgoil rouses them, the Men of Dunland assemble war parties and descend swiftly from their hills to plunder and kill, before retreating just as quickly back into the mountain mists where few dare follow them., wielding a Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
33;"Wulfing Riders";"Evil Men";"Create a high-quality, full-body portrait of character named Wulfing Riders, who is a Evil Men from Tolkien's Middle-earth, The Wulfings bear the symbols of their mixed ancestry, the old roots of their Dunlendish blood and their Northman heritage. They will draw their blade on anyone who forgets that one of their lords was once king of all Rohan., wielding a Spear with a Sword strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
34;"Warriors of the Gaesela";"Evil Men";"Create a high-quality, full-body portrait of character named Warriors of the Gaesela, who is a Evil Men from Tolkien's Middle-earth, Proud in their old ways, the Dunlendings of the west march of Rohan are more peaceful than their kin living in the Dunland Fells, but they are just as quick to draw blood if given a reason., wielding a Spear with a Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
35;"Men of Isengard";"Evil Men";"Create a high-quality, full-body portrait of character named Men of Isengard, who is a Evil Men from Tolkien's Middle-earth, Many of Saruman’s most trusted servants belong to the folk of Isengard, men and women who have lived all their lives under the shadow of the Tower of Orthanc. Well-fed and trained, they are loyal and dependable., wielding a Spear.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
36;"Easterling Warrior";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Warrior, who is a Evil Men from Tolkien's Middle-earth, The warriors of the East are fierce and tough. Adorned in bronzed and gilded mail and armed with gleaming curved blades, these foreign fighters are a strange and fearful sight., wielding a Spear with a Scimitar strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
37;"Easterling Captain";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Captain, who is a Evil Men from Tolkien's Middle-earth, Captains in the armies of the East are especially cruel, establishing their authority through fear and pain. They are just as capable of inflicting that pain on their foes., wielding a Scimitar with a Dagger strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
38;"Easterling Raider";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Raider, who is a Evil Men from Tolkien's Middle-earth, Fast and light skirmishing units of the Easterlings are a common sight near the Iron Hills, in Dorwinion, and sometimes in the furthest reaches of Dalish lands. These raiders are fast and brutal, and are masters of both horse and bow., wielding a Spear with a Bow strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
39;"Easterling Sorcerer";"Evil Men";"Create a high-quality, full-body portrait of character named Easterling Sorcerer, who is a Evil Men from Tolkien's Middle-earth, Petty sorcery is the fare of dark cultists and secretive courtiers in the kingdoms of the East. Black temples to Morgoth are the training grounds for men and women with knowledge of evil power who use their knowledge to aid in the wars fought in Dark Lord Sauron’s name., wielding a Black-Bladed Dagger.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
40;"Corrupted Dwarf Warrior";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf Warrior, who is a Evil Men from Tolkien's Middle-earth, The warriors of the dwarves are fearsome and sturdy. When they lose their minds from shadow corruption, they become a very dangerous threat., wielding a Axe with a Mattock strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
41;"Corrupted Dwarf";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf, who is a Evil Men from Tolkien's Middle-earth, The dwarves are resilient against the corruption of shadow, but they are not immune to the enemy. Many are driven to their own selfish and destructive ends., wielding a Axe.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
42;"Corrupted Dwarf Veteran";"Evil Men";"Create a high-quality, full-body portrait of character named Corrupted Dwarf Veteran, who is a Evil Men from Tolkien's Middle-earth, Experienced dwarven warriors that become corrupted can best several mannish fighters simultaneously, requiring a half-dozen warriors or more to subdue., wielding a Axe with a Mattock strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
43;"Spectres";"Undead";"Create a high-quality, full-body portrait of character named Spectres, who is a Undead from Tolkien's Middle-earth, Not all the spirits that tarry in Middle-earth are bound to the service of Sauron, yet all feel the pull of his will. Powerful and strong-willed Men or Elves who died while pursuing acts of passion and great pride are often so consumed by their obsessions that they can linger on after death, haunting places they once used to love or inhabit., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
44;"Bog Soldiers";"Undead";"Create a high-quality, full-body portrait of character named Bog Soldiers, who is a Undead from Tolkien's Middle-earth, Dead soldiers of a war long past, lying in rest beneath the Ettenmoors., wielding a Short Sword.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
45;"Wood-Wight";"Undead";"Create a high-quality, full-body portrait of character named Wood-Wight, who is a Undead from Tolkien's Middle-earth, Spirits from Dol Guldur possessing the bodies of Northmen., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
46;"Dead Men of Dunharrow";"Undead";"Create a high-quality, full-body portrait of character named Dead Men of Dunharrow, who is a Undead from Tolkien's Middle-earth, Shades of the men of the mountains, cursed to undeath after betraying their king in the war of the last alliance., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
47;"Grim Hawks";"Monster";"Create a high-quality, full-body portrait of character named Grim Hawks, who is a Monster from Tolkien's Middle-earth, Grim Hawks eat fish and smaller birds, as well as worms and insects they dig out of the mud with their sharp curved beaks. They also eat carrion by placing one clawed foot on the corpse and tearing the flesh with their beaks. A hungry Grim Hawk can be brave enough to attack an armed man, and a flock may surround a group of men., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
48;"Basilisks";"Monster";"Create a high-quality, full-body portrait of character named Basilisks, who is a Monster from Tolkien's Middle-earth, Called Sarnlug by the Elves, and Fágwyrm by the Northmen, these lizards are said to be cast-offs from the Enemy’s earliest attempts to make dragons. Most Basilisks are as large as boars, but they can grow much bigger. Their yellowish bellies drag on the ground as they waddle through the forest’s underbrush., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
49;"Huorns";"Monster";"Create a high-quality, full-body portrait of character named Huorns, who is a Monster from Tolkien's Middle-earth, Ancient and vengeful tree-like creatures. They are not quite Ents but possess a malevolent will of their own., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
50;"Bloodstump the Hunter";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Bloodstump the Hunter, who is a Adversaries in Eriador from Tolkien's Middle-earth, Bloodstump was the Hill-Troll Chief responsible for killing the Chieftain of the Dúnedain, Arador, the grandfather of Aragorn. He wields a terrible weapon, a dark gift from an invisible master., wielding a Great Black Mace.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
51;"The Queen on Castle Hill";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named The Queen on Castle Hill, who is a Adversaries in Eriador from Tolkien's Middle-earth, Rine, the self-proclaimed Queen of Castle Hill, is a huge solitary Stone-Troll with fists like boulders and a mind more cunning than most of her kind. Her weakness might lie in the excessive trust she puts in her improvised coat of armor., wielding a Club.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
58;"Gorgol, Son of Bolg";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Gorgol, Son of Bolg, who is a Adversaries in Eriador from Tolkien's Middle-earth, Gorgol is a young Great Orc, dreadfully strong but not yet grown to full size and power. What he lacks in might he makes up in cunning., wielding a Heavy Scimitar with a Orc-Axe strapped to their side.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
59;"Maghaz, Orc-Captain";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Maghaz, Orc-Captain, who is a Adversaries in Eriador from Tolkien's Middle-earth, The castellan of Fenbridge, in Southern Mirkwood, is a wily creature who has learnt how to survive in the shadow of Dol Guldur: trust no one, never lead openly when you can plot in the dark, obey your masters, and when something goes wrong always find someone to put the blame upon., wielding a Bent Sword with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
60;"Nagrhaw, Chief of the Wargs";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named Nagrhaw, Chief of the Wargs, who is a Adversaries in Eriador from Tolkien's Middle-earth, Nagrhaw, Chief of the Wargs is a Wolf Leader of unusual strength and cunning. He is always accompanied by a retinue of Wild Wolves, and sometimes Orcs., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
61;"The New Great Goblin";"Adversaries in Eriador";"Create a high-quality, full-body portrait of character named The New Great Goblin, who is a Adversaries in Eriador from Tolkien's Middle-earth, The self-styled Greatest Goblin is a lumbering, huge Orc, consumed by an unquenchable thirst for revenge. He will go to any length to bring harm upon the dwellers of the Vales of Anduin, and especially the Beornings, but would go to greater lengths to preserve his own safety., wielding a Orc-Axe with a Broad-Headed Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
62;"Black Warg of Methedras";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Black Warg of Methedras, who is a Adversaries in Rohan from Tolkien's Middle-earth, A dark spirit inhabits the form of the Black Warg of Methedras, an evil shade that feeds off the breath of the living and is augmented by the deep shadows of the blackest nights., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
63;"Stoneclaws the Bear";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Stoneclaws the Bear, who is a Adversaries in Rohan from Tolkien's Middle-earth, Raised from a cub on the draughts of the Ents, Stoneclaws is a (mostly) benevolent sight within the forest. Woe betide any who provoke or attack him, however., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
64;"The Great Boar of Everholt";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named The Great Boar of Everholt, who is a Adversaries in Rohan from Tolkien's Middle-earth, Is the fabled Boar of Everholt a myth, an undying creature that lives to be hunted and slain only to return to prowl the woods, or is it the progeny of a breed of boars that once every century generates a specimen of prodigious size?, wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
65;"Dreorg the Wargling";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Dreorg the Wargling, who is a Adversaries in Rohan from Tolkien's Middle-earth, Dreorg the Wargling was once one of the Hill-men living in the vale of Gundabad, to the east of the Misty Mountains. To escape death, his spirit fled his form and entered that of a particularly large, savage Warg., wielding a no visible weapon.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
66;"Radgul the Orc-Chief";"Adversaries in Rohan";"Create a high-quality, full-body portrait of character named Radgul the Orc-Chief, who is a Adversaries in Rohan from Tolkien's Middle-earth, Radgul is the chieftain of the Orcs of Mount Gram, a wily, scarred old Orc with ambitions on the throne of Mount Gundabad and the cunning and patience to achieve his goals., wielding a Orc-Axe with a Spear strapped to their back.The image should have no background (transparent), no shadows, and be suitable for use as a 3D model reference. Please provide the image as a PNG with a transparent background if possible."
